model,condition,n,n_pos,base_rate,f1,precision,recall,pr_auc,roc_auc,brier,ece,experiment
Persistence,in-domain (4G),16217,905,0.05580563606092372,0.430751837196156,0.4409722222222222,0.42099447513812155,0.21795864084264166,0.6947252939953931,0.062095332058950486,0.029783560461244373,4G -> 5G
Persistence,out-of-domain (5G),42172,369,0.008749881437920895,0.0847457627118644,0.08849557522123894,0.08130081300813008,0.015233271176402035,0.5369544995117439,0.015365645451958645,0.0073271364886654654,4G -> 5G
LogisticRegression,in-domain (4G),16217,905,0.05580563606092372,0.41964545190351643,0.28470031545741326,0.7977900552486188,0.3724159068333504,0.8926440534127712,0.11552769624851107,0.22128874666079767,4G -> 5G
LogisticRegression,out-of-domain (5G),42172,369,0.008749881437920895,0.029618082618862042,0.020787746170678335,0.051490514905149054,0.02216050159445069,0.7358769585590744,0.029110702977020616,0.07938192751692587,4G -> 5G
RandomForest,in-domain (4G),16217,905,0.05580563606092372,0.5613874942948426,0.4782270606531882,0.6795580110497238,0.41866869129196016,0.9117019403407288,0.04849197054240544,0.07131462694289308,4G -> 5G
RandomForest,out-of-domain (5G),42172,369,0.008749881437920895,0.0,0.0,0.0,0.025039130045965557,0.6954598375254379,0.013001206815085925,0.04560460200242813,4G -> 5G
GradientBoosting,in-domain (4G),16217,905,0.05580563606092372,0.34529451591062965,0.4458041958041958,0.281767955801105,0.3223076936134261,0.8522350938418285,0.04909814064988971,0.03205675429802861,4G -> 5G
GradientBoosting,out-of-domain (5G),42172,369,0.008749881437920895,0.0,0.0,0.0,0.024449361321413083,0.6836095385330094,0.00890432168645979,0.00699646632183743,4G -> 5G
Persistence,in-domain (5G),12567,132,0.010503700167104321,0.05668016194331984,0.06086956521739131,0.05303030303030303,0.013174617253104388,0.5221725700917498,0.018540622264661414,0.008593936500358081,5G -> 4G
Persistence,out-of-domain (4G),55198,2192,0.03971158375303453,0.41333959605448567,0.4259438528557599,0.40145985401459855,0.1947683341227418,0.6895425142615724,0.045255262871843185,0.021486285734990396,5G -> 4G
LogisticRegression,in-domain (5G),12567,132,0.010503700167104321,0.03980099502487562,0.020512820512820513,0.6666666666666666,0.0405471645101515,0.7033641603002279,0.20910106182254798,0.381419732860054,5G -> 4G
LogisticRegression,out-of-domain (4G),55198,2192,0.03971158375303453,0.10767102883285457,0.060941828254847646,0.46167883211678834,0.10350996354634462,0.6154815898819883,0.19435992044185849,0.3198023231699723,5G -> 4G
RandomForest,in-domain (5G),12567,132,0.010503700167104321,0.029411764705882353,0.5,0.015151515151515152,0.09020784555973804,0.8246972133884076,0.013986411719615593,0.037941346271680484,5G -> 4G
RandomForest,out-of-domain (4G),55198,2192,0.03971158375303453,0.0,0.0,0.0,0.05716282455649258,0.6352027511139766,0.040588798625848126,0.021420829896362324,5G -> 4G
GradientBoosting,in-domain (5G),12567,132,0.010503700167104321,0.09090909090909091,0.07954545454545454,0.10606060606060606,0.06002735311832971,0.7621766519233348,0.01818641770444426,0.027387041125705183,5G -> 4G
GradientBoosting,out-of-domain (4G),55198,2192,0.03971158375303453,0.012075471698113207,0.034934497816593885,0.0072992700729927005,0.03320178325767997,0.43627285445718716,0.04722465555678326,0.04963984599528985,5G -> 4G
Persistence,in-domain (static),10715,205,0.019132057862809144,0.2706766917293233,0.27835051546391754,0.2634146341463415,0.08741399303578404,0.6250469935717435,0.027158189454036398,0.013065795613625758,static -> mobile
Persistence,out-of-domain (mobile),56152,1550,0.027603647243197037,0.38317757009345793,0.3969571230982019,0.37032258064516127,0.16438357959208272,0.6771762348301079,0.03291067103576008,0.015529277674882463,static -> mobile
LogisticRegression,in-domain (static),10715,205,0.019132057862809144,0.173217854763491,0.10030864197530864,0.6341463414634146,0.11322458813208856,0.8296655914228029,0.09684286196224125,0.20068547631839978,static -> mobile
LogisticRegression,out-of-domain (mobile),56152,1550,0.027603647243197037,0.2130091438071488,0.12695070596977953,0.6612903225806451,0.29887800262547964,0.8387487992286705,0.11150190333942689,0.2272886863458949,static -> mobile
RandomForest,in-domain (static),10715,205,0.019132057862809144,0.15,0.28,0.1024390243902439,0.1797596417426263,0.8483871342043583,0.021573151403188367,0.04771927478983487,static -> mobile
RandomForest,out-of-domain (mobile),56152,1550,0.027603647243197037,0.2555147058823529,0.4440894568690096,0.17935483870967742,0.3096410817104625,0.8726262774257354,0.02622299565404245,0.051496832896766445,static -> mobile
GradientBoosting,in-domain (static),10715,205,0.019132057862809144,0.22038567493112948,0.25316455696202533,0.1951219512195122,0.12732358298049928,0.7820131814067903,0.022939887777356963,0.015461679266872716,static -> mobile
GradientBoosting,out-of-domain (mobile),56152,1550,0.027603647243197037,0.18487394957983194,0.3344594594594595,0.12774193548387097,0.15185113266187045,0.7544117726988613,0.027479159454715272,0.01625764188578316,static -> mobile
Persistence,in-domain (mobile),17888,585,0.032703488372093026,0.36524822695035464,0.37937384898710863,0.35213675213675216,0.15477886322114126,0.6663301803797673,0.04002683363148479,0.01883944543828265,mobile -> static
Persistence,out-of-domain (static),41218,1011,0.024528118783055948,0.3411167512690355,0.35036496350364965,0.3323442136498516,0.13281810871987046,0.6584246996570197,0.031491096123053036,0.015114755689261973,mobile -> static
LogisticRegression,in-domain (mobile),17888,585,0.032703488372093026,0.2103960396039604,0.12301013024602026,0.7264957264957265,0.35953234391720906,0.8488363511885444,0.13161826994129713,0.24722480978315717,mobile -> static
LogisticRegression,out-of-domain (static),41218,1011,0.024528118783055948,0.19930295598296113,0.11460807600950118,0.7636003956478734,0.2880181941939441,0.8734674911930168,0.10931888898441006,0.22750009586855746,mobile -> static
RandomForest,in-domain (mobile),17888,585,0.032703488372093026,0.4858181818181818,0.42278481012658226,0.5709401709401709,0.4448328963136977,0.8820089989829342,0.03681940466372594,0.07728156135295836,mobile -> static
RandomForest,out-of-domain (static),41218,1011,0.024528118783055948,0.4872427983539095,0.41719520789288234,0.5855588526211671,0.2864321479359932,0.8921698164520859,0.03253488920923628,0.07640214957516084,mobile -> static
GradientBoosting,in-domain (mobile),17888,585,0.032703488372093026,0.4534639608117565,0.38388625592417064,0.5538461538461539,0.32942515625858243,0.869821843057698,0.03803704655818774,0.044037023505343414,mobile -> static
GradientBoosting,out-of-domain (static),41218,1011,0.024528118783055948,0.29153605015673983,0.24140168721609345,0.36795252225519287,0.1933247527803922,0.8575689058381039,0.035306620105338415,0.04455728853051984,mobile -> static
