feature,psi
rsrq_mean,2.404844547821469
rsrq_min,2.16589441655989
rsrq_max,2.144520260568273
rsrq_last,2.0634394668919076
rsrq_std,1.455544939295862
rsrq_slope,1.1391600084773317
dl_bitrate_std,0.7391756808411829
rsrq_delta,0.6752753868595744
snr_mean,0.6343323673559125
dl_bitrate_max,0.6074540570923808
snr_min,0.5995882237903272
snr_last,0.5580142213933866
snr_max,0.48719393912806147
sc_rsrp_mean,0.36023734836457355
sc_snr_mean,0.2969668985616126
dl_bitrate_min,0.2735500991546291
dl_bitrate_last,0.22343641711595721
dl_bitrate_mean,0.22332211104750332
sc_rsrq_mean,0.21003681389063705
rsrp_min,0.19081931939495003
dl_bitrate_delta,0.17695929882955966
dl_ratio_last_to_mean,0.17566206650718647
rsrp_last,0.17340733771370223
rsrp_mean,0.16412906721584497
dl_bitrate_slope,0.14456914497209206
cqi_std,0.1250396018644351
rsrp_max,0.12422855775753416
cqi_max,0.11672453963892798
snr_std,0.11540422017309966
cqi_mean,0.09823398443670651
rsrp_std,0.09783224426029197
n_handovers,0.09401969332751321
cqi_slope,0.08063408457872932
cqi_last,0.07022904469865371
rsrp_slope,0.04463025473922491
cqi_delta,0.03647033554057782
n_stalls_so_far,0.034896295403207045
rsrp_delta,0.03340388164367244
snr_delta,0.032251306155325045
snr_slope,0.028266274678359665
cqi_min,0.02819360637033684
dl_zero_frac,0.012193104393727474
elapsed_s,0.004721539787936809
tech_is_5g,0.0
persistence,0.0
