feature,psi
n_handovers,0.8408921472100022
rsrp_std,0.7152523432005015
rsrp_delta,0.38628608603057674
rsrp_slope,0.37708493239762186
sc_rsrq_mean,0.36321161981262157
sc_rsrp_mean,0.28998101479733873
snr_std,0.265198047625974
cqi_std,0.22427444102871053
snr_slope,0.16150395455856242
rsrp_max,0.15994763792511413
snr_delta,0.15865509962979685
sc_snr_mean,0.12055049854451683
dl_bitrate_std,0.10793427400177973
dl_bitrate_max,0.10390578744298176
cqi_slope,0.09751152709339271
rsrq_mean,0.09184853053670664
rsrq_min,0.09050295808778569
rsrq_max,0.08705763975075886
snr_max,0.08461783536188924
cqi_max,0.07899360946237002
rsrp_mean,0.0777776297992377
cqi_delta,0.07682553648534236
dl_bitrate_mean,0.0766235726050094
cqi_min,0.0677278243112508
rsrq_last,0.06555227689835369
dl_bitrate_last,0.0647796988968844
n_stalls_so_far,0.0641195155214239
snr_mean,0.06180071640903027
tech_is_5g,0.05979455015937178
rsrp_last,0.05952552899421556
dl_bitrate_slope,0.05118453246779878
dl_zero_frac,0.0489595114067374
dl_bitrate_min,0.04521495375608509
rsrp_min,0.042034820997107786
snr_last,0.04027501539509296
snr_min,0.038554785750335704
dl_bitrate_delta,0.03343692153060778
cqi_last,0.025729925215439976
dl_ratio_last_to_mean,0.020678247130413212
elapsed_s,0.018510107488751776
rsrq_slope,0.015684197323577006
cqi_mean,0.009925229374392828
rsrq_std,0.008542146842319999
rsrq_delta,0.0028783832047893443
persistence,0.0
